Bird Species,Distance Bin,Date,Time,Coordinates,Location,Habitat Type,Time Period,Group Name,Remarks
Swiftlet (x4),Flyby,1 Mar (Thurs),0838,"1°17'52""N 103°46'47""","20m ev, On green field, beside running track and construction yard",Field,0835-0845,Brahminy Kite,
Swiftlet ,Flyby,1 Mar (Thurs),0839,"1°17'52""N 103°46'47""","20m ev, On green field, beside running track and construction yard",Field,0835-0845,Brahminy Kite,
Yellow-vented Bulbul,2,1 Mar (Thurs),0845,"1°17'52""N 103°46'47""","20m ev, On green field, beside running track and construction yard",Field,0835-0845,Brahminy Kite,
Yellow-vented Bulbul,2,1 Mar (Thurs),0845,"1°17'52""N 103°46'47""","20m ev, On green field, beside running track and construction yard",Field,0835-0845,Brahminy Kite,
Javan Myna (x2),2,1 Mar (Thurs),0900,"1°17'51""N 103°46'51""","20m ev, Next to S17, end of carpark, next to S17 bus stop",Urban,0900-0910,Brahminy Kite,Noisy due to car noise and human traffic
Olive-backed Sunbird,Heard,1 Mar (Thurs),0903,"1°17'51""N 103°46'51""","20m ev, Next to S17, end of carpark, next to S17 bus stop",Urban,0900-0910,Brahminy Kite,Noisy due to car noise and human traffic
Javan Myna,2,1 Mar (Thurs),0905,"1°17'51""N 103°46'51""","20m ev, Next to S17, end of carpark, next to S17 bus stop",Urban,0900-0910,Brahminy Kite,Noisy due to car noise and human traffic
Olive-backed Sunbird,Heard,1 Mar (Thurs),0908,"1°17'51""N 103°46'51""","20m ev, Next to S17, end of carpark, next to S17 bus stop",Urban,0900-0910,Brahminy Kite,Noisy due to car noise and human traffic
Eagle,Flyby,1 Mar (Thurs),0909,"1°17'51""N 103°46'51""","20m ev, Next to S17, end of carpark, next to S17 bus stop",Urban,0900-0910,Brahminy Kite,
Javan Myna,3,1 Mar (Thurs),0940,"1°17'41""N 103°46'52""","30m ev, MD02 Loading Bay, Ventation area. In between MD02 and Carpark",Urban,0935-0945,Brahminy Kite,Noisy and barely any sky visibility as it is flanked by two tall buildings
Javan Myna,2,1 Mar (Thurs),1014,"1°18'15""N 103°46'26""","30ev, Utown Green",Field,1014-1024,Brahminy Kite,
Olive-backed Sunbird,Heard,1 Mar (Thurs),1014,"1°18'15""N 103°46'26""","30ev, Utown Green",Field,1014-1024,Brahminy Kite,
Eagle,Flyby,1 Mar (Thurs),1014,"1°18'15""N 103°46'26""","30ev, Utown Green",Field,1014-1024,Brahminy Kite,
Javan Myna,2,1 Mar (Thurs),1015,"1°18'15""N 103°46'26""","30ev, Utown Green",Field,1014-1024,Brahminy Kite,
Javan Myna,2,1 Mar (Thurs),1016,"1°18'15""N 103°46'26""","30ev, Utown Green",Field,1014-1024,Brahminy Kite,
Eurasian Tree Sparrow,2,1 Mar (Thurs),1018,"1°18'15""N 103°46'26""","30ev, Utown Green",Field,1014-1024,Brahminy Kite,
Swiflet (x2),Flyby,1 Mar (Thurs),1019,"1°18'15""N 103°46'26""","30ev, Utown Green",Field,1014-1024,Brahminy Kite,
Yellow-vented Bulbul,2,1 Mar (Thurs),1020,"1°18'15""N 103°46'26""","30ev, Utown Green",Field,1014-1024,Brahminy Kite,
Javan Myna,2,1 Mar (Thurs),1042,"1°18'27""N 103°46'24""","30ev, CAPT Dining Hall exit",Urban,1042-1052,Brahminy Kite,In between two buildings. Little visibility of the sky
Yellow-vented Bulbul,2,1 Mar (Thurs),1043,"1°18'27""N 103°46'24""","30ev, CAPT Dining Hall exit",Urban,1042-1052,Brahminy Kite,In between two buildings. Little visibility of the sky
Swiftlet (x2),Flyby,1 Mar (Thurs),1050,"1°18'27""N 103°46'24""","30ev, CAPT Dining Hall exit",Urban,1042-1052,Brahminy Kite,In between two buildings. Little visibility of the sky
Yellow-vented Bulbul,2,1 Mar (Thurs),1046,"1°18'27""N 103°46'24""","30ev, CAPT Dining Hall exit",Urban,1042-1052,Brahminy Kite,In between two buildings. Little visibility of the sky
Javan Myna,2,1 Mar (Thurs),1051,"1°18'27""N 103°46'24""","30ev, CAPT Dining Hall exit",Urban,1042-1052,Brahminy Kite,In between two buildings. Little visibility of the sky
Black-naped Oriole,2,1 Mar (Thurs),905,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,
Black-naped Oriole,2,1 Mar (Thurs),905,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,
Black-naped Oriole,2,1 Mar (Thurs),907,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,
Jungle Crow,3,1 Mar (Thurs),908,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,A group of 6 jungle crows at the top of a tree
Jungle Crow,3,1 Mar (Thurs),908,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,A group of 6 jungle crows at the top of a tree
Jungle Crow,3,1 Mar (Thurs),908,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,A group of 6 jungle crows at the top of a tree
Jungle Crow,3,1 Mar (Thurs),908,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,A group of 6 jungle crows at the top of a tree
Jungle Crow,3,1 Mar (Thurs),908,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,A group of 6 jungle crows at the top of a tree
Jungle Crow,3,1 Mar (Thurs),908,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,A group of 6 jungle crows at the top of a tree
Black-naped Oriole,2,1 Mar (Thurs),909,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,
Black-naped Oriole,2,1 Mar (Thurs),909,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,
Javan Myna,1,1 Mar (Thurs),910,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,
Javan Myna,1,1 Mar (Thurs),910,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,
Javan Myna,2,1 Mar (Thurs),912,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,
Javan Myna,2,1 Mar (Thurs),912,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,
Javan Myna,2,1 Mar (Thurs),912,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,
Stripped Tit-Babler,2,1 Mar (Thurs),914,"1.292301, 103.779346","Prince George's Park, 20m from Busstop",Urban (With tall trees around),0905 - 0915,Brahminy Kite,
Jungle Crow,2,1 Mar (Thurs),925,"1.293138, 103.778175","Prince George's Park, Main Road",Urban (With tall trees around),0924 - 0934,Brahminy Kite,
Jungle Crow,1,1 Mar (Thurs),926,"1.293138, 103.778176","Prince George's Park, Main Road",Urban (With tall trees around),0924 - 0934,Brahminy Kite,
Jungle Crow,1,1 Mar (Thurs),926,"1.293138, 103.778177","Prince George's Park, Main Road",Urban (With tall trees around),0924 - 0934,Brahminy Kite,
Javan Myna,2,1 Mar (Thurs),927,"1.293138, 103.778178","Prince George's Park, Main Road",Urban (With tall trees around),0924 - 0934,Brahminy Kite,
Javan Myna,1,1 Mar (Thurs),928,"1.293138, 103.778179","Prince George's Park, Main Road",Urban (With tall trees around),0924 - 0934,Brahminy Kite,
Javan Myna,1,1 Mar (Thurs),928,"1.293138, 103.778180","Prince George's Park, Main Road",Urban (With tall trees around),0924 - 0934,Brahminy Kite,
Spotted Pigeon,2,1 Mar (Thurs),930,"1.293138, 103.778181","Prince George's Park, Main Road",Urban (With tall trees around),0924 - 0934,Brahminy Kite,
Javan Myna,2,1 Mar (Thurs),931,"1.293138, 103.778182","Prince George's Park, Main Road",Urban (With tall trees around),0924 - 0934,Brahminy Kite,
Javan Myna,2,1 Mar (Thurs),931,"1.293138, 103.778183","Prince George's Park, Main Road",Urban (With tall trees around),0924 - 0934,Brahminy Kite,
Javan Myna,2,1 Mar (Thurs),932,"1.293138, 103.778184","Prince George's Park, Main Road",Urban (With tall trees around),0924 - 0934,Brahminy Kite,
Javan Myna,2,1 Mar (Thurs),932,"1.293138, 103.778185","Prince George's Park, Main Road",Urban (With tall trees around),0924 - 0934,Brahminy Kite,
Pink Neck Green Pigeon,2,1 Mar (Thurs),933,"1.293138, 103.778186","Prince George's Park, Main Road",Urban (With tall trees around),0924 - 0934,Brahminy Kite,
Jungle Crow,1,1 Mar (Thurs),941,"1.293629, 103.776953","Prince George's Park, At the bend",Urban (With tall trees around),0940 - 0950,Brahminy Kite,"Construction Site opposite, with backlighting (Harder to spot)"
Jungle Crow,1,1 Mar (Thurs),941,"1.293629, 103.776953","Prince George's Park, At the bend",Urban (With tall trees around),0940 - 0950,Brahminy Kite,"Construction Site opposite, with backlighting (Harder to spot)"
Javan Myna,2,1 Mar (Thurs),946,"1.293629, 103.776953","Prince George's Park, At the bend",Urban (With tall trees around),0940 - 0950,Brahminy Kite,"Construction Site opposite, with backlighting (Harder to spot)"
Javan Myna,1,1 Mar (Thurs),948,"1.293629, 103.776953","Prince George's Park, At the bend",Urban (With tall trees around),0940 - 0950,Brahminy Kite,"Construction Site opposite, with backlighting (Harder to spot)"
Javan Myna,1,1 Mar (Thurs),948,"1.293629, 103.776953","Prince George's Park, At the bend",Urban (With tall trees around),0940 - 0950,Brahminy Kite,"Construction Site opposite, with backlighting (Harder to spot)"
White-crested Laughingthrush,2,1 Mar (Thurs),1003,"1.291351, 103.776201","30 Heng Mui Keng Terrace, Besides Sheares Hall",Urban,1000 - 1010,Brahminy Kite,
White-crested Laughingthrush,2,1 Mar (Thurs),1003,"1.291351, 103.776201","30 Heng Mui Keng Terrace, Besides Sheares Hall",Urban,1000 - 1010,Brahminy Kite,
Pink Neck Green Pigeon,2,1 Mar (Thurs),1005,"1.291351, 103.776201","30 Heng Mui Keng Terrace, Besides Sheares Hall",Urban,1000 - 1010,Brahminy Kite,
Pink Neck Green Pigeon,2,1 Mar (Thurs),1005,"1.291351, 103.776201","30 Heng Mui Keng Terrace, Besides Sheares Hall",Urban,1000 - 1010,Brahminy Kite,
Javan Myna,2,1 Mar (Thurs),1007,"1.291351, 103.776201","30 Heng Mui Keng Terrace, Besides Sheares Hall",Urban,1000 - 1010,Brahminy Kite,
Spotted Pigeon,2,1 Mar (Thurs),1008,"1.291351, 103.776201","30 Heng Mui Keng Terrace, Besides Sheares Hall",Urban,1000 - 1010,Brahminy Kite,
White-crested Laughingthrush,2,1 Mar (Thurs),1009,"1.291351, 103.776201","30 Heng Mui Keng Terrace, Besides Sheares Hall",Urban,1000 - 1010,Brahminy Kite,
White-crested Laughingthrush,2,1 Mar (Thurs),1009,"1.291351, 103.776201","30 Heng Mui Keng Terrace, Besides Sheares Hall",Urban,1000 - 1010,Brahminy Kite,
Olive-backed Sunbird,2,1 Mar (Thurs),1010,"1.291351, 103.776201","30 Heng Mui Keng Terrace, Besides Sheares Hall",Urban,1000 - 1010,Brahminy Kite,
Black-naped Oriole,2,1 Mar (Thurs),1025,"1.303789, 103.775625","College Link Rd, Roundabout Loop",Urban,1020 - 1030,Brahminy Kite,
Black-naped Oriole,2,1 Mar (Thurs),1025,"1.303789, 103.775625","College Link Rd, Roundabout Loop",Urban,1020 - 1030,Brahminy Kite,
Yellow-vented Bulbul,2,1 Mar (Thurs),1027,"1.303789, 103.775625","College Link Rd, Roundabout Loop",Urban,1020 - 1030,Brahminy Kite,
Olive-backed Sunbird,2,1 Mar (Thurs),1028,"1.303789, 103.775625","College Link Rd, Roundabout Loop",Urban,1020 - 1030,Brahminy Kite,
Eurasian Tree Sparrow,1,1 Mar (Thurs),1041,"1.305254, 103.774441","36 College Ave E, Singapore 138600, Behind UTR",Urban,1040 - 1050,Brahminy Kite,
Eurasian Tree Sparrow,1,1 Mar (Thurs),1043,"1.305254, 103.774441","36 College Ave E, Singapore 138600, Behind UTR",Urban,1040 - 1050,Brahminy Kite,
Eurasian Tree Sparrow,1,1 Mar (Thurs),1043,"1.305254, 103.774441","36 College Ave E, Singapore 138600, Behind UTR",Urban,1040 - 1050,Brahminy Kite,
Javan Myna,2,1 Mar (Thurs),1045,"1.305254, 103.774441","36 College Ave E, Singapore 138600, Behind UTR",Urban,1040 - 1050,Brahminy Kite,
Yellow-vented Bulbul,2,1 Mar (Thurs),1046,"1.305254, 103.774441","36 College Ave E, Singapore 138600, Behind UTR",Urban,1040 - 1050,Brahminy Kite,
Yellow-vented Bulbul,2,1 Mar (Thurs),1049,"1.305254, 103.774441","36 College Ave E, Singapore 138600, Behind UTR",Urban,1040 - 1050,Brahminy Kite,
Yellow-vented Bulbul,2,1 Mar (Thurs),1049,"1.305254, 103.774441","36 College Ave E, Singapore 138600, Behind UTR",Urban,1040 - 1050,Brahminy Kite,
Yellow-vented Bulbul,2,1 Mar (Thurs),1049,"1.305254, 103.774441","36 College Ave E, Singapore 138600, Behind UTR",Urban,1040 - 1050,Brahminy Kite,
Yellow-vented Bulbul,4,1 Mar,08 11,"1.309002, 103.772320","Left of bus stop University Town, ID 19059 College Avenue West",NIL (in flight),0811 - 0821,Ashy Minivet,
Javan Myna,2,1 Mar,08 12,"1.309002, 103.772320","Left of bus stop University Town, ID 19059 College Avenue West",Tree,0811 - 0821,Ashy Minivet,
Javan Myna,1,1 Mar,08 14,"1.309002, 103.772320","Left of bus stop University Town, ID 19059 College Avenue West",Building opposite bus stop,0811 - 0821,Ashy Minivet,
Olive-backed Sunbird,4,1 Mar,08 18,"1.309002, 103.772320","Left of bus stop University Town, ID 19059 College Avenue West",NIL (in flight),0811 - 0821,Ashy Minivet,
Black-naped Oriole,3,1 Mar,08 19,"1.309002, 103.772320","Left of bus stop University Town, ID 19059 College Avenue West",Top of Angsana tree,0811 - 0821,Ashy Minivet,
Black-naped Oriole,2,1 Mar,08 22,"1.308519, 103.771903","Right of bus stop Aft Dover Road, ID 17099, College Avenue West",Covered walkway,0811 - 0821,Ashy Minivet,
Javan Myna,2,1 Mar,08 23,"1.308519, 103.771903","Right of bus stop Aft Dover Road, ID 17099, College Avenue West",Angsana tree canopy,0811 - 0821,Ashy Minivet,
Rock Pigeon,1,1 Mar,08 28,"1.304951, 103.771645",300m walk towards Clementi Road from Stephen Riady Center,Tree with loamy ground,0828 - 0838,Ashy Minivet,
Javan Myna,3,1 Mar,08 29,"1.304951, 103.771645",300m walk towards Clementi Road from Stephen Riady Center,Tree opposite road,0828 - 0838,Ashy Minivet,
Javan Myna,1,1 Mar,08 29,"1.304951, 103.771645",300m walk towards Clementi Road from Stephen Riady Center,NIL (in flight),0828 - 0838,Ashy Minivet,
Rock Pigeon,2,1 Mar,08 30,"1.304951, 103.771645",300m walk towards Clementi Road from Stephen Riady Center,Tree opposite road,0828 - 0838,Ashy Minivet,
Black-naped Oriole,2,1 Mar,08 33,"1.304951, 103.771645",300m walk towards Clementi Road from Stephen Riady Center,Tree next to pavement,0828 - 0838,Ashy Minivet,
Javan Myna,1,1 Mar,08 46,"1.304449, 103.774417",Outside Sapore's Italiano,,0846 - 0856,Ashy Minivet,
Javan Myna,4,1 Mar,08 59,"1.305037, 103.772685",Edge of Town Green near Pizza Hut,Trees right outside Pizza Hut,0859 - 0909,Ashy Minivet,
Olive-backed Sunbird,2,1 Mar,09 01,"1.305037, 103.772685",Edge of Town Green near Pizza Hut,Trees right outside Pizza Hut,0828 - 0838,Ashy Minivet,
Eurasian Tree Sparrow,2,1 Mar,09 01,"1.305037, 103.772685",Edge of Town Green near Pizza Hut,Trees at side of town green,0828 - 0838,Ashy Minivet,
Javan Myna,1,1 Mar,09 02,"1.305037, 103.772685",Edge of Town Green near Pizza Hut,Trees at side of town green,0828 - 0838,Ashy Minivet,
Javan Myna,1,1 Mar,09 02,"1.305037, 103.772685",Edge of Town Green near Pizza Hut,Tree in front of Pizza Hut,0828 - 0838,Ashy Minivet,
Olive-backed Sunbird,2,1 Mar,09 04,"1.305037, 103.772685",Edge of Town Green near Pizza Hut,NIL(in flight),0828 - 0838,Ashy Minivet,
Yellow-vented Bulbul,1,1 Mar,09 06,"1.305037, 103.772685",Edge of Town Green near Pizza Hut,Tree next to Supermarket,0828 - 0838,Ashy Minivet,
Javan Myna,2,1 Mar,09 08,"1.305037, 103.772685",Edge of Town Green near Pizza Hut,On town green,0828 - 0838,Ashy Minivet,
Javan Myna,2,1 Mar,09 08,"1.305037, 103.772685",Edge of Town Green near Pizza Hut,On town green closer to signboard,0828 - 0838,Ashy Minivet,
Javan Myna,2,1 Mar,09 09,"1.305037, 103.772685",Edge of Town Green near Pizza Hut,NIL(in flight),0828 - 0838,Ashy Minivet,
Javan Myna,1,1 Mar,09 12,"1.303894, 103.775190",Road/Parking space behind Create Tower,Road,0912 - 1012,Ashy Minivet,
Yellow-vented Bulbul,2,1 Mar,09 12,"1.303894, 103.775190","1 Create Way, Singapore 138602",NIL (heard),0912 - 1012,Ashy Minivet,Heard
Javan Myna,1,1 Mar,09 15,"1.303894, 103.775190","1 Create Way, Singapore 138602",Pavement,0912 - 1012,Ashy Minivet,
Javan Myna,2,1 Mar,09 19,"1.303894, 103.775190","1 Create Way, Singapore 138602",Tree,0912 - 1012,Ashy Minivet,
Javan Myna,1,2 Mar,09 28,"1.305994, 103.773311","30 College Ave E, Singapore 138599",Pavement,0928 - 0938,Ashy Minivet,
Yellow-vented Bulbul,2,2 Mar,09 31,"1.305994, 103.773311","30 College Ave E, Singapore 138599",Tree,0928 - 0938,Ashy Minivet,
Olive-backed Sunbird,2,2 Mar,09 32,"1.305994, 103.773311","30 College Ave E, Singapore 138599",NIL (heard),0928 - 0938,Ashy Minivet,Heard
Javan Myna,1,2 Mar,09 35,"1.305994, 103.773311","30 College Ave E, Singapore 138599",Pavement,0928 - 0938,Ashy Minivet,
Javan Myna,1,2 Mar,09 36,"1.305994, 103.773311","30 College Ave E, Singapore 138599",Pavement,0928 - 0938,Ashy Minivet,
Yellow-vented Bulbul,2,2 Mar,09 38,"1.305994, 103.773311","30 College Ave E, Singapore 138599",Tree,0928 - 0938,Ashy Minivet,
Javan Myna,1,2 Mar,09 38,"1.305994, 103.773311","30 College Ave E, Singapore 138599",Road,0928 - 0938,Ashy Minivet,
Yellow-vented Bulbul,2,2 Mar,09 40,"1.305994, 103.773311","30 College Ave E, Singapore 138599",Tree,0940 - 0950,Ashy Minivet,
Javan Myna,1,2 Mar,09 46,"1.306042, 103.774040",22 College Ave East,Pavement,0940 - 0950,Ashy Minivet,
Yellow-vented Bulbul,1,2 Mar,09 48,"1.306042, 103.774040",22 College Ave East,Shrubs,0940 - 0950,Ashy Minivet,
Yellow-vented Bulbul,1,2 Mar,09 51,"1.306042, 103.774040",22 College Ave East,Shrubs,0940 - 0950,Ashy Minivet,
Olive-backed Sunbird,2,2 Mar,09 53,"1.306042, 103.774040",22 College Ave East,NIL(Iin flight),0940 - 0950,Ashy Minivet,In flight
Javan Myna,3,2 Mar,09 54,"1.306042, 103.774040",22 College Ave East,NIL (in flight),0940 - 0950,Ashy Minivet,In flight
Yellow-vented Bulbul,1,2 Mar,09 55,"1.306042, 103.774040",22 College Ave East,Shrubs,0940 - 0950,Ashy Minivet,
Yellow-vented Bulbul,2,2 Mar,10 01,"1.306989, 103.773073","18 College Ave E, Singapore 138593",Shrubs,1001 - 1011,Ashy Minivet,
Javan Myna,1,2 Mar,10 02,"1.306989, 103.773073","18 College Ave E, Singapore 138593",Pavement,1001 - 1011,Ashy Minivet,
Javan Myna,2,2 Mar,10 04,"1.306989, 103.773073","18 College Ave E, Singapore 138593",Shrubs,1001 - 1011,Ashy Minivet,
Yellow-vented Bulbul,2,2 Mar,10 07,"1.306989, 103.773073",NIL (in flight),,1001 - 1011,Ashy Minivet,
Black-naped Oriole,2,2 Mar,10 09,"1.306989, 103.773073","18 College Ave E, Singapore 138593",Shrubs,1001 - 1011,Ashy Minivet,
Javan Myna,1,2 Mar,10 12,"1.307145, 103.773617",Cinnamon College Driveway along College Ave E,Road,1012 - 1022,Ashy Minivet,
Yellow-vented Bulbul,2,2 Mar,10 14,"1.307145, 103.773617",Cinnamon College Driveway along College Ave E,NIL (heard only),1012 - 1022,Ashy Minivet,
Javan Myna,2,2 Mar,10 15,"1.307145, 103.773617",Cinnamon College Driveway along College Ave E,NIL (in flight),1012 - 1022,Ashy Minivet,
Javan Myna,1,2 Mar,10 17,"1.307145, 103.773617",Cinnamon College Driveway along College Ave E,Pavement alongside shrubs,1012 - 1022,Ashy Minivet,
Yellow-vented Bulbul,1,2 Mar,10 18,"1.307145, 103.773617",Cinnamon College Driveway along College Ave E,Tree along pavement,1012 - 1022,Ashy Minivet,
Yellow-vented Bulbul,1,2 Mar,10 20,"1.307145, 103.773617",Cinnamon College Driveway along College Ave E,Tree along pavement,1012 - 1022,Ashy Minivet,
Javan Myna,1,2 Mar,10 21,"1.307145, 103.773617",Cinnamon College Driveway along College Ave E,Road,1012 - 1022,Ashy Minivet,
Javan Myna ,2,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Javan Myna ,2,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Javan Myna ,2,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Javan Myna ,3,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Javan Myna ,1,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Javan Myna ,Heard ,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Javan Myna ,Heard ,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Black-naped Oriole,2,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Yellow-vented Bulbul,Heard,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Olive-backed Sunbird,1,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Eurasian Tree Sparrow,1,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Eurasian Tree Sparrow,1,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Eurasian Tree Sparrow,1,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Eurasian Tree Sparrow,1,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Eurasian Tree Sparrow,1,26th Feb (Monday),07 50,Latitude: 1.30856 | Longitude: 103.77288,28 College Ave West (near Yale-NUS),Urban,07 50 - 08 00,Coppersmith Barbet,Point was half blocked by building in the area
Javan Myna ,2,26th Feb (Monday),08 06,Latitude: 1.30815 | Longitude: 103.77369,6 College Ave E (near RC4),Urban,08 06 - 08 16,Coppersmith Barbet,Point was 3/4 blocked by buildings in the area
Javan Myna ,Heard,26th Feb (Monday),08 06,Latitude: 1.30815 | Longitude: 103.77369,6 College Ave E (near RC4),Urban,08 06 - 08 16,Coppersmith Barbet,Point was 3/4 blocked by buildings in the area
Javan Myna ,Heard,26th Feb (Monday),08 06,Latitude: 1.30815 | Longitude: 103.77369,6 College Ave E (near RC4),Urban,08 06 - 08 16,Coppersmith Barbet,Point was 3/4 blocked by buildings in the area
Yellow-vented Bulbul,1,26th Feb (Monday),08 06,Latitude: 1.30815 | Longitude: 103.77369,6 College Ave E (near RC4),Urban,08 06 - 08 16,Coppersmith Barbet,Point was 3/4 blocked by buildings in the area
Yellow-vented Bulbul,2,26th Feb (Monday),08 06,Latitude: 1.30815 | Longitude: 103.77369,6 College Ave E (near RC4),Urban,08 06 - 08 16,Coppersmith Barbet,Point was 3/4 blocked by buildings in the area
Yellow-vented Bulbul,Heard,26th Feb (Monday),08 06,Latitude: 1.30815 | Longitude: 103.77369,6 College Ave E (near RC4),Urban,08 06 - 08 16,Coppersmith Barbet,Point was 3/4 blocked by buildings in the area
Yellow-vented Bulbul,Heard,26th Feb (Monday),08 06,Latitude: 1.30815 | Longitude: 103.77369,6 College Ave E (near RC4),Urban,08 06 - 08 16,Coppersmith Barbet,Point was 3/4 blocked by buildings in the area
Rock Pigeon,1,26th Feb (Monday),08 06,Latitude: 1.30815 | Longitude: 103.77369,6 College Ave E (near RC4),Urban,08 06 - 08 16,Coppersmith Barbet,Point was 3/4 blocked by buildings in the area
Rock Pigeon,3,26th Feb (Monday),08 06,Latitude: 1.30815 | Longitude: 103.77369,6 College Ave E (near RC4),Urban,08 06 - 08 16,Coppersmith Barbet,Point was 3/4 blocked by buildings in the area
Olive-backed Sunbird,Heard,26th Feb (Monday),08 06,Latitude: 1.30815 | Longitude: 103.77369,6 College Ave E (near RC4),Urban,08 06 - 08 16,Coppersmith Barbet,Point was 3/4 blocked by buildings in the area
Yellow-vented Bulbul,1,26th Feb (Monday),08 22,Latitude: 1.30755 | Longitude: 103.77303,8 College Ave E (near CAPT),Urban,08 22 - 08 32,Coppersmith Barbet,
Yellow-vented Bulbul,Heard,26th Feb (Monday),08 22,Latitude: 1.30755 | Longitude: 103.77303,8 College Ave E (near CAPT),Urban,08 22 - 08 32,Coppersmith Barbet,
Yellow-vented Bulbul,Heard,26th Feb (Monday),08 22,Latitude: 1.30755 | Longitude: 103.77303,8 College Ave E (near CAPT),Urban,08 22 - 08 32,Coppersmith Barbet,
Yellow-vented Bulbul,Heard,26th Feb (Monday),08 22,Latitude: 1.30755 | Longitude: 103.77303,8 College Ave E (near CAPT),Urban,08 22 - 08 32,Coppersmith Barbet,
Javan Myna ,Heard,26th Feb (Monday),08 22,Latitude: 1.30755 | Longitude: 103.77303,8 College Ave E (near CAPT),Urban,08 22 - 08 32,Coppersmith Barbet,
Javan Myna ,Heard,26th Feb (Monday),08 22,Latitude: 1.30755 | Longitude: 103.77303,8 College Ave E (near CAPT),Urban,08 22 - 08 32,Coppersmith Barbet,
